actor,claim,source_name,source_url,side_tag,confidence
Pete Hegseth,Pete Hegseth was a co-host of Fox News' FOX & Friends Weekend.,Fox News profile,https://www.foxnews.com/person/h/pete-hegseth,us-political,documented
Pete Hegseth,Pete Hegseth was a co-host of Fox News' FOX & Friends Weekend.,Wikipedia bio,https://en.wikipedia.org/wiki/Pete_Hegseth,us-political,documented
JD Vance,JD Vance has served as a U.S. Senator from Ohio.,Congress.gov profile,https://www.congress.gov/member/j-d-vance/V000137,us-political,documented
JD Vance,JD Vance has served as a U.S. Senator from Ohio.,U.S. Senate directory,https://www.senate.gov/senators/senators-contact.htm,us-political,documented
Howard Lutnick,Howard Lutnick is Chairman and CEO of Cantor Fitzgerald.,Cantor leadership,https://www.cantor.com/leadership/howard-w-lutnick/,finance,documented
Howard Lutnick,Howard Lutnick is Chairman and CEO of Cantor Fitzgerald.,Britannica profile,https://www.britannica.com/biography/Howard-Lutnick,finance,documented
Marco Rubio,Marco Rubio has served as U.S. Senator from Florida.,Congress.gov profile,https://www.congress.gov/member/marco-rubio/R000595,us-political,documented
Marco Rubio,Marco Rubio has served as U.S. Senator from Florida.,U.S. Senate directory,https://www.senate.gov/senators/senators-contact.htm,us-political,documented
Tulsi Gabbard,Tulsi Gabbard served as U.S. Representative for Hawaii's 2nd district (2013–2021).,Congress.gov profile,https://www.congress.gov/member/tulsi-gabbard/G000571,us-political,documented
Tulsi Gabbard,Tulsi Gabbard served as U.S. Representative for Hawaii's 2nd district (2013–2021).,Bioguide,https://bioguide.congress.gov/search/bio/G000571,us-political,documented
David Sacks,David Sacks is a co-founder of Craft Ventures.,Craft Ventures team,https://craftventures.com/team/david-sacks/,tech-capital,documented
David Sacks,David Sacks is a co-founder of Craft Ventures.,Wikipedia bio,https://en.wikipedia.org/wiki/David_O._Sacks,tech-capital,documented
Brendan Carr,Brendan Carr is an FCC Commissioner.,FCC biography,https://www.fcc.gov/about/leadership/brendan-carr,regulatory,documented
Brendan Carr,Brendan Carr is an FCC Commissioner.,Congress nomination,https://www.congress.gov/nomination/115th-congress/269,regulatory,documented
Andrew Ferguson,Andrew N. Ferguson is an FTC Commissioner.,FTC biography,https://www.ftc.gov/about-ftc/commissioners-staff/andrew-n-ferguson,regulatory,documented
Andrew Ferguson,Andrew N. Ferguson is an FTC Commissioner.,Congress nomination,https://www.congress.gov/nomination/118th-congress/223,regulatory,documented
Doug Burgum,Doug Burgum served as Governor of North Dakota.,NGA profile,https://www.nga.org/governor/doug-burgum/,us-political,documented
Doug Burgum,Doug Burgum served as Governor of North Dakota.,Britannica profile,https://www.britannica.com/biography/Doug-Burgum,us-political,documented
Chris Wright,Chris Wright served as Chairman/CEO of Liberty Energy.,Liberty leadership,https://libertyenergy.com/leadership/chris-wright/,energy,documented
Chris Wright,Chris Wright served as Chairman/CEO of Liberty Energy.,Liberty investors,https://libertyenergy.com/investors/,energy,documented
Donald J. Trump,Donald Trump served as the 45th U.S. President (2017–2021).,Trump White House archive,https://trumpwhitehouse.archives.gov/,us-presidents,documented
Donald J. Trump,Donald Trump served as the 45th U.S. President (2017–2021).,U.S. National Archives,https://www.archives.gov/presidential-libraries,us-presidents,documented
Joseph R. Biden Jr.,Joe Biden served as the 46th U.S. President.,White House bio,https://www.whitehouse.gov/administration/president-biden/,us-presidents,documented
Joseph R. Biden Jr.,Joe Biden served as the 46th U.S. President.,Britannica profile,https://www.britannica.com/biography/Joe-Biden,us-presidents,documented
Barack Obama,Barack Obama served as the 44th U.S. President (2009–2017).,Obama White House archive,https://obamawhitehouse.archives.gov/,us-presidents,documented
Barack Obama,Barack Obama served as the 44th U.S. President (2009–2017).,White House presidents,https://www.whitehouse.gov/about-the-white-house/presidents/,us-presidents,documented
